danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
high,high,low,low,low,low,medium,107.951,213520,low
high,high,low,low,low,low,high,125.455,228213,medium
medium,medium,low,medium,low,low,low,74.984,142973,medium
low,high,low,low,low,low,low,208.951,279027,high
medium,high,low,low,low,low,high,111.647,161920,high
medium,high,low,low,low,medium,medium,165.981,205960,high
medium,high,low,low,low,medium,high,131.991,246760,medium
medium,high,low,low,low,low,medium,155.189,191560,medium
low,high,low,low,low,low,medium,155.066,192893,medium
medium,high,low,low,low,low,medium,104.997,244720,medium
medium,high,low,low,low,low,medium,151.943,212467,medium
medium,high,low,low,low,medium,high,94.997,204507,medium
medium,high,low,low,low,low,high,89.975,211667,medium
medium,high,low,low,low,medium,low,135.01,217027,medium
high,high,low,low,low,low,high,99.023,200213,medium
medium,medium,low,medium,low,low,low,102.448,215507,low
medium,medium,low,low,medium,low,medium,122.579,212320,medium
high,high,low,low,low,low,high,120.982,276993,medium
medium,high,medium,low,low,low,medium,79.965,200000,low
high,high,low,low,low,low,medium,140.015,274286,low
high,high,low,low,low,low,high,98.401,169727,high
high,medium,low,medium,low,low,low,102.971,205130,medium
medium,high,low,low,low,low,medium,107.993,335294,low
medium,medium,low,high,low,low,low,126.028,245240,low
high,high,low,medium,low,low,high,150.008,303133,medium
medium,medium,low,low,low,low,low,152.124,213179,low
high,high,low,low,low,medium,medium,95.637,171067,medium
medium,high,low,low,low,low,medium,122.035,262533,high
medium,medium,low,medium,low,low,low,123.984,318391,medium
medium,high,low,low,low,low,high,144.998,206840,medium
medium,high,low,low,low,medium,high,150.104,206373,medium
medium,medium,low,medium,low,low,medium,120.175,176293,high
high,high,low,low,low,low,high,107.231,220867,high
medium,high,low,low,high,low,medium,111.926,287720,medium
high,high,low,low,low,low,high,131.02,222080,low
medium,high,low,low,low,low,medium,101.674,164867,medium
high,high,low,medium,low,low,high,123.992,229805,medium
high,high,low,low,low,low,high,125.941,214827,low
high,high,low,low,low,medium,high,100.024,218093,high
medium,high,low,low,low,low,medium,127.98,221075,medium
low,medium,low,low,low,low,medium,134.48,318027,high
medium,high,low,low,low,low,medium,158.024,154667,high
medium,medium,low,low,low,low,medium,124.992,336880,medium
medium,high,low,low,low,low,medium,129.188,153600,high
high,high,low,low,low,low,high,129.221,198400,medium
high,high,low,low,low,low,high,103.191,253107,medium
high,high,low,low,low,low,medium,131.994,193827,medium
high,medium,low,low,low,low,medium,164.068,223079,low
medium,high,low,low,low,medium,high,131.998,213453,medium
high,high,low,low,low,medium,medium,94.005,212140,medium
high,high,low,low,high,low,high,127.808,264280,high
high,high,low,low,low,low,medium,92.909,214400,high
high,high,low,low,low,low,high,120.0,212440,high
medium,high,low,low,low,low,low,96.483,329733,high
high,high,low,low,low,low,medium,167.964,340920,high
high,high,low,low,medium,low,medium,120.423,233867,high
medium,high,low,low,low,high,high,192.296,230426,high
high,high,low,low,low,medium,high,138.559,222640,high
medium,high,low,low,low,low,medium,90.052,195200,high
medium,high,low,low,low,medium,low,122.961,302840,high
medium,high,low,low,low,low,medium,154.996,194573,low
high,high,low,low,low,high,medium,98.012,242588,medium
high,high,low,low,high,high,high,101.033,212773,medium
high,medium,low,low,low,low,medium,131.037,253800,medium
medium,high,low,low,low,low,high,109.902,238733,high
medium,high,low,low,low,low,high,111.346,263040,low
medium,high,low,low,low,low,high,129.981,241600,high
medium,high,low,low,low,low,medium,144.968,281080,medium
medium,high,low,low,low,low,high,121.892,203720,low
medium,high,low,low,low,medium,medium,119.964,196413,high
high,medium,low,low,low,low,high,171.804,279507,high
medium,high,low,low,low,low,low,129.904,176308,low
high,high,low,low,low,low,high,128.032,294787,low
medium,medium,low,low,high,low,high,158.009,219827,high
medium,high,low,low,low,low,high,172.087,129907,medium
high,high,low,low,low,low,high,107.661,196160,high
high,medium,low,low,low,low,high,117.0,242733,high
high,high,low,low,low,low,high,142.985,198813,medium
medium,high,low,low,low,low,high,100.891,277480,medium
medium,high,low,low,low,low,medium,129.042,212862,high
high,medium,low,low,low,low,medium,115.997,235000,medium
medium,medium,low,low,low,low,low,180.301,281040,high
high,high,low,low,low,high,medium,136.282,212000,medium
high,high,low,low,low,low,medium,144.091,296080,low
high,high,low,low,low,low,high,92.049,252773,high
medium,high,low,low,low,low,high,84.412,225280,high
high,medium,low,medium,low,low,high,117.401,253250,low
medium,medium,low,medium,low,low,medium,77.521,212405,medium
high,high,low,low,low,low,high,126.988,202627,high
high,medium,low,medium,low,low,low,130.439,243067,high
medium,medium,low,high,low,low,high,108.804,144200,medium
high,high,low,medium,low,medium,high,126.005,220667,high
medium,high,low,low,low,medium,high,123.009,230347,medium
medium,high,low,low,low,low,high,96.075,281853,medium
high,high,low,low,low,low,high,134.044,225672,medium
high,high,low,low,low,low,high,134.056,195889,medium
high,medium,low,low,low,low,high,134.066,206693,high
high,high,low,low,low,low,medium,100.012,228300,medium
medium,medium,low,low,low,low,high,202.103,186973,high
high,high,low,low,low,low,high,124.021,210053,high
medium,medium,low,low,low,low,high,202.103,186973,high
high,high,low,low,low,low,high,124.021,210053,high
high,medium,low,low,low,low,high,134.066,206693,high
medium,high,low,low,low,low,medium,143.56,198187,high
high,high,low,low,low,low,high,159.996,250080,high
high,high,low,low,low,low,high,104.953,191000,high
medium,medium,low,low,low,medium,medium,76.97,281827,high
medium,high,low,medium,low,low,medium,125.986,228720,high
high,medium,low,medium,low,low,medium,139.959,244493,high
high,high,low,low,low,low,medium,104.98,228573,medium
high,high,low,low,low,low,medium,111.975,225027,medium
high,high,low,low,low,low,medium,77.989,207560,medium
high,high,low,low,low,low,high,93.022,203973,medium
medium,medium,low,high,low,low,medium,175.972,132640,medium
medium,medium,low,low,low,low,low,174.152,261240,medium
high,high,low,low,low,low,high,125.03,221177,medium
medium,high,low,low,low,high,medium,126.043,232381,medium
high,high,low,low,low,high,high,121.931,208279,medium
high,medium,low,low,low,low,high,116.018,178758,low
medium,high,low,low,low,low,medium,128.008,212903,low
high,high,low,low,low,low,high,134.032,206697,medium
high,medium,low,low,low,low,low,110.443,223253,high
high,medium,low,medium,low,low,high,77.998,243013,medium
medium,high,low,low,low,low,high,163.834,147747,high
high,high,low,medium,low,low,high,174.943,190213,high
medium,high,low,medium,low,low,medium,144.926,230120,high
medium,medium,low,medium,low,low,low,145.837,217867,high
high,high,low,low,low,medium,high,75.516,229373,medium
medium,medium,low,high,low,low,medium,89.044,197373,high
medium,high,low,low,low,low,medium,140.081,227760,medium
high,medium,low,low,low,low,high,134.071,234596,medium
high,high,low,low,low,low,medium,106.175,158678,medium
low,medium,low,low,low,low,low,166.649,249800,low
medium,high,low,low,low,low,high,149.059,214692,low
medium,high,low,low,low,low,low,101.978,209972,low
medium,high,low,low,low,low,high,151.894,228426,low
medium,high,low,low,low,medium,medium,188.115,222261,low
medium,high,low,low,low,medium,low,127.004,258227,low
low,high,low,low,low,low,medium,168.126,176643,medium
medium,high,low,low,low,low,medium,169.961,183928,low
medium,high,low,low,low,medium,medium,154.023,161625,medium
medium,medium,low,low,low,low,medium,109.992,204617,low
low,high,low,low,low,low,medium,162.466,167267,low
low,high,low,low,low,low,medium,109.386,209642,low
medium,high,low,low,low,low,medium,171.891,182500,low
medium,high,low,low,low,medium,medium,126.054,186697,low
low,high,low,low,low,low,low,160.041,222000,low
medium,high,low,low,low,medium,medium,122.046,209625,low
low,high,low,low,low,low,medium,162.466,167267,low
medium,high,low,low,low,low,medium,171.891,182500,low
medium,high,low,low,low,medium,medium,122.046,209625,low
low,high,low,low,low,low,medium,109.386,209642,low
low,high,low,low,low,low,low,160.041,222000,low
medium,high,low,low,low,low,medium,126.511,148000,low
medium,high,low,low,low,low,medium,91.993,184000,low
low,medium,low,low,low,low,low,92.009,321500,low
low,high,low,low,low,low,low,160.041,222000,low
medium,high,low,low,low,medium,medium,154.014,161567,low
medium,high,low,low,low,low,medium,169.961,183928,low
medium,high,low,medium,low,low,high,76.004,170057,low
medium,high,low,low,low,medium,medium,154.023,161625,medium
high,high,low,low,low,low,high,95.05,206200,low
medium,high,low,low,low,low,high,88.04,244867,low
high,high,low,low,low,medium,high,138.021,192440,medium
medium,high,low,low,low,low,low,139.894,202667,high
medium,high,medium,low,low,high,medium,161.868,199600,medium
medium,high,low,low,low,low,medium,79.999,204188,medium
medium,high,low,low,low,medium,low,77.011,280360,low
high,high,low,low,low,low,medium,130.06,211700,low
medium,high,low,low,low,medium,medium,145.011,208120,low
high,high,low,low,low,low,medium,127.991,238373,low
medium,high,low,low,low,low,medium,114.041,203893,low
medium,high,low,low,low,low,medium,166.031,232773,medium
medium,high,low,low,low,low,medium,152.93,225618,low
medium,high,low,low,low,low,high,132.0,247053,low
high,high,low,low,low,low,high,140.003,175707,low
medium,high,low,low,low,low,medium,139.705,239464,low
medium,high,low,low,low,medium,medium,169.94,190880,low
medium,high,low,low,low,medium,high,127.991,184667,low
high,high,low,low,low,low,high,110.007,198653,low
medium,high,low,low,low,low,medium,83.949,183107,low
high,high,low,low,low,low,high,132.055,186493,low
medium,high,low,low,low,low,medium,130.018,224253,low
medium,high,low,low,low,low,high,150.924,193933,low
medium,high,low,low,low,medium,medium,120.041,190707,low
medium,high,low,low,low,low,medium,151.779,247413,low
medium,medium,low,low,low,low,low,122.697,193893,low
medium,high,low,low,low,low,high,153.062,167920,low
medium,high,low,low,low,low,medium,122.84,236120,low
high,high,low,low,low,low,medium,130.012,192573,medium
low,high,low,low,low,low,high,188.386,255493,high
high,high,low,low,low,low,medium,135.653,231933,high
medium,high,low,low,low,low,low,106.767,312293,high
medium,high,low,low,low,medium,medium,141.038,317427,high
medium,high,low,low,low,low,medium,135.962,301227,high
medium,high,low,low,low,low,medium,98.057,183053,medium
medium,high,low,low,low,low,medium,120.006,167133,medium
medium,high,low,low,low,low,medium,120.976,204373,medium
medium,high,low,low,low,low,medium,120.134,177253,medium
medium,high,low,low,low,low,medium,99.372,215440,medium
medium,high,low,low,low,low,high,107.572,202587,medium
medium,high,low,low,low,medium,medium,93.095,164227,medium
medium,high,low,low,low,low,high,150.188,210200,medium
medium,high,low,low,low,low,medium,91.212,162840,medium
medium,high,low,low,low,low,medium,192.149,189720,medium
medium,high,low,low,low,low,medium,168.955,221360,medium
medium,high,low,low,low,low,high,118.4,261507,high
medium,medium,low,low,low,low,medium,93.899,214173,medium
medium,high,low,low,low,low,medium,125.796,237067,medium
